report_text,category,severity,language
Alam ko po na marami kayong trabaho pero Ang fence ng barangay basketball court ay tilt na posibleng mabuwal kailangan ng agad na aksyon.,Structural,Medium,tagalog
"Pakiusap sana ay tulungan kami, Biglang bumagsak ang malaking bahagi ng bundok malapit sa mga bahay ito ay nangyari ngayon.",Landslide,High,tagalog
"Importante po ito, Naputol ang gas line malapit sa mga bahay mapanganib sa pagsabog maaari ba kayong tumulong?",Utility,High,tagalog
Aram ko na dakul kamong trabaho pero An tulay sa samuyang barangay hababa na asin tibaad dai na matibay puwede daw kamong tumabang?,Structural,Medium,bikol
"Pakiusap sana ay tulungan kami, May konting guho ng lupa sa tabi ng kalsada maliit lang naman umaasa po kaming maaksyunan ito.",Landslide,Low,tagalog
"Pakiusap tabangan kami, Mataas na an baha sa samuyang lugar, halos sa daghan na kan mga tawo kaipuhan na gayod nin tabang.",Flooding,High,bikol
Alam ko po na marami kayong trabaho pero Naputol ang daliri ng isang bata sa aksidente kailangan ng ospital umaasa po kaming maaksyunan ito.,Medical,High,tagalog
Ang mga pusa at aso sa aming lugar ay walang bakuna dapat ayusin nangyari ito kanina pa.,Animal,Low,tagalog
"Mahal na barangay tanggapan, Maraming residente ang nagsuka at nagtatae matapos sa fiesta salo salo",Food,High,tagalog
Ang ilog ay pumatak na sa critical level paabot na sa mga kabahayan ito ay nangyari ngayon.,Flooding,High,tagalog
"Pakiusap tabangan kami, Kaipuhan nin food assistance an dakul na pamilya sa samuyang barangay salamat.",Food,Medium,bikol
"Importante po ito, Ang street light sa aming lugar ay naputulan ng ilaw gusto ko lang ireport salamat po.",Utility,Low,tagalog
Bumabaha ang kalsada at may peligro sa mga motorista ito ay nangyari ngayon.,Flooding,Medium,tagalog
Gusto ko lang ireport na Nasira ang tulay dahil sa lakas ng baha hindi na madaraanan maaari ba kayong tumulong?,Flooding,High,tagalog
"Importante ini, May gurang na babaeng biglang naluya sa luwas kan harong niya kaipuhan na gayod nin tabang.",Medical,High,bikol
Gusto ko lang ireport na Maraming butas sa daan sa aming sityo kailangan ng ayos,Road Hazard,Medium,tagalog
"Nagtatanong po kung may aksyon na, Nakita ang isang lalaki na bumabasag ng bintana ng mga bahay sa gabi sana ay tulungan ninyo kami.",Security,High,tagalog
"Pakiusap tabangan kami, Dakul na tawo an naghelang pagkatapos kumaon sa kantina kan barangay kaipuhan na gayod nin tabang.",Food,High,bikol
Naputol ang high tension wire at bumagsak sa palengke,Power Hazard,High,tagalog
"Nagtatanong po kung may aksyon na, Ang aming kapit bahay ay matagal nang hindi kumakain kailangan ng tulong maaari ba kayong tumulong?",Medical,Medium,tagalog
Gusto ko lang ireport na Ang nakababa na wire sa bukid ay nakasalpak sa basa na puno mapanganib kailangan na talaga ng tulong.,Power Hazard,High,tagalog
Gusto ko lang ireport na Naputol ang linya ng kuryente nahulog sa may basang daan mapanganib maraming salamat po.,Utility,High,tagalog
"Dai nagfufunction an traffic light sa interseksyon, peligroso",Road Hazard,Medium,bikol
"Igwa nin pagkagaba kan daga sa itaas kan bukid, nakaharang an dalan pasiring digdi kaipuhan na gayod nin tabang.",Landslide,High,bikol
Alam ko po na marami kayong trabaho pero Nahulog ang puno sa gitna ng kalsada hindi madaraanan sana ay tulungan ninyo kami.,Road Hazard,High,tagalog
"Nagtatanong po kung may aksyon na, Ang kalsada sa aming barangay ay lubak lubak na mapanganib sa motorsiklo sana ay tulungan ninyo kami.",Road Hazard,Medium,tagalog
"Naheling ko an sarong tawong may hawak na lading, nagbabanta sa mga tawo ini nangyari ngunyan.",Security,High,bikol
Ang lupa sa gilid ng bahay namin ay lumalagpas na posibleng magguho ito ay nangyari ngayon.,Landslide,Medium,tagalog
"Mahal na barangay tanggapan, Ang lumang barangay hall ay may mga bitak na sa pader kailangan na suriin ito ay nangyari ngayon.",Structural,Medium,tagalog
May taong nahimatay sa kalsada kailangan ng ambulansya umaasa po kaming maaksyunan ito.,Medical,High,tagalog
"Nahulog an dakulang gapo hali sa bukid, nakaharang sa dalan tabangan niyo kami tabi.",Road Hazard,High,bikol
Alam ko po na marami kayong trabaho pero Ang landslide ay sumakop sa dalawang bahay kailangan ng rescue agad umaasa po kaming maaksyunan ito.,Landslide,High,tagalog
Ang drainage sa aming lugar ay sira na palagi kaming nababaha pakiusap.,Utility,Medium,tagalog
"Pakiusap sana ay tulungan kami, Ang bahay ng aming kapitbahay ay malapit nang bumagsak kailangan lumikas",Structural,High,tagalog
Nag aalala po kami dahil May konting usok mula sa kalan ng kapitbahay wala naman malaking problema kailangan na talaga ng tulong.,Fire,Low,tagalog
"Naghahapot ako kun igwa nang aksyon, May electric shock an sarong aki sa atubangan kan samuyang harong kaipuhan nin tulong ngunyan.",Power Hazard,High,bikol
"Mahal na tanggapan kan barangay, Naghihilaw an salog asin nag-aalsa na sa mga harong sa gilid pakiusap.",Flooding,High,bikol
Gusto ko lang ireport na Malaki ang sunog sa pabrika apoy lumalabas na sa bubong maraming salamat po.,Fire,High,tagalog
Alam ko po na marami kayong trabaho pero May bata na allergic at nangangailangan ng medisin hindi sila makabili pakiusap.,Medical,Medium,tagalog
Nakita ko ang spark sa linya ng kuryente sa harap ng palengke maraming salamat po.,Power Hazard,Medium,tagalog
"Importante po ito, May nakulong na tao sa loob ng bahay hindi makalabas dahil sa baha ito ay nangyari ngayon.",Flooding,High,tagalog
"Kinagat kan ayam an sarong aki na yaon sa dalan, kaipuhan nin tabang medikal",Animal,High,bikol
"Nagtatanong po kung may aksyon na, May sunog sa informal settler area doon sa kabila maraming nasusunog umaasa po kaming maaksyunan ito.",Fire,High,tagalog
Ang guardrail sa mataas na daan ay sira na at mapanganib pakiusap.,Road Hazard,Medium,tagalog
"Nagtatanong po kung may aksyon na, May buntis na manganganak na kailangan ng agad na sasakyan papunta ospital umaasa po kaming maaksyunan ito.",Medical,High,tagalog
"Gaba na an speed bump sa atubangan kan eskwelahan, peligroso sa mga aki puwede daw kamong tumabang?",Road Hazard,Medium,bikol
Biglang natumba ang lalaki sa kalsada walang makatulong sa kanya ito ay nangyari ngayon.,Medical,High,tagalog
Nag aalala po kami dahil Ang aming kapit bahay ay matagal nang hindi kumakain kailangan ng tulong nangyari ito kanina pa.,Medical,Medium,tagalog
"Pakiusap tabangan kami, Dakulang sunog sa palengke, nagdadakula pa an kalayo, kaipuhan nin tabang tabangan niyo kami tabi.",Fire,High,bikol
Alam ko po na marami kayong trabaho pero May malaking hukay sa kalsada na mapanganib lalo na sa gabi maraming salamat po.,Road Hazard,Medium,tagalog
"Nagtatanong po kung may aksyon na, Maliit lang ang baha pero lumalaki na kailangan bantayan kailangan ng agad na aksyon.",Flooding,Medium,tagalog
Dakul na daga na naghahaluwas sa samuyang lugar puon kan pagbaha ini nangyari ngunyan.,Animal,Medium,bikol
"Naghahapot ako kun igwa nang aksyon, Nahulog sa hagdan an sarong residente, dai na makahiro kaipuhan na gayod nin tabang.",Medical,High,bikol
Gusto ko sanang i-report na Gusto ko sanang i-report na an samuyang poste medyo naghihiro na naglalaom kami na maaksyunan ini.,Power Hazard,Low,bikol
Nag-aalala kami huli ta Gusto ko sanang i-report na luag an takop kan drainage sa samuyang dalan,Utility,Low,bikol
"Nagtatanong po kung may aksyon na, Bumagsak ang poste sa gitna ng kalsada may nakabitin na linya maaari ba kayong tumulong?",Utility,High,tagalog
"Pakiusap sana ay tulungan kami, May buntis na manganganak na kailangan ng agad na sasakyan papunta ospital kailangan na talaga ng tulong.",Medical,High,tagalog
"Mahal na barangay tanggapan, Bumagsak ang malaking bato mula sa bundok naharang ang daan maaari ba kayong tumulong?",Road Hazard,High,tagalog
"Importante ini, May ayam na daing kagsadiri na nagkakagat nin mga tawo sa samuyang lugar, peligroso kaipuhan na gayod nin tabang.",Animal,High,bikol
May nakita kaming bitak sa lupa sa mataas na lugar posibleng magguho nangyari ito kanina pa.,Landslide,Medium,tagalog
Walang tubig na iniinom sa aming lugar tatlong araw na ito,Utility,High,tagalog
"Mahal na tanggapan kan barangay, Nahulog an daga hali sa mataas na parte pasiring sa mga harong sa ibaba",Landslide,High,bikol
Alam ko po na marami kayong trabaho pero Nakita ko ang usok mula sa bahay na walang tagaroon posibleng susunog,Fire,High,tagalog
"Pakiusap sana ay tulungan kami, Ang pintuan ng sityo hall ay sira na mahirap buksan ito ay nangyari ngayon.",Structural,Low,tagalog
Alam ko po na marami kayong trabaho pero May nag-aaway at gumagamit ng armas sa palengke kailangan ng pulis agad,Security,High,tagalog
"Gusto ko sanang i-report na Nahulog an transformer harani sa palengke, may kalayong naluluwas",Power Hazard,High,bikol
"Mahal na tanggapan kan barangay, Biglang naghabon an baha, nakaabot na sa laog kan harong mi pakiusap.",Flooding,High,bikol
"Mahal na barangay tanggapan, Naputol ang power line at bumagsak sa kalsada delikado sa mga tao maaari ba kayong tumulong?",Utility,High,tagalog
Gusto ko lang ireport na Maraming tao ang nagkasakit matapos kumain sa canteen ng barangay,Food,High,tagalog
Nag aalala po kami dahil Umaapaw ng kaunti ang kanal pero hindi pa malaki ang epekto umaasa po kaming maaksyunan ito.,Flooding,Low,tagalog
Nahulog ang transformer malapit sa bahay may electric hazard maraming salamat po.,Utility,High,tagalog
"Pakiusap sana ay tulungan kami, Bukas na ang manhole cover sa gitna ng daan nakita ko na ang ilang nadaanan pakiusap.",Road Hazard,High,tagalog
"May naaamoy na maraot hali sa gadan na hayop sa salog, kaipuhan halion tabangan niyo kami tabi.",Animal,Medium,bikol
"Importante ini, Dai nagfufunction an traffic light sa interseksyon, peligroso puwede daw kamong tumabang?",Road Hazard,Medium,bikol
"Nagtatanong po kung may aksyon na, May taong nahimatay sa kalsada kailangan ng ambulansya pakiusap.",Medical,High,tagalog
Gusto ko lang ireport na Ang sewage system ay sumabog at nagdulot ng polusyon sa mga bahay salamat po.,Infrastructure,High,tagalog
"Naputol an linya nin kuryente asin nahulog sa kalsada, peligroso puwede daw kamong tumabang?",Utility,High,bikol
"Dakul na residente an naghehelang, tibaad dengue, kaipuhan nin fumigation",Medical,Medium,bikol
Gusto ko lang ireport na Kailangan ng vitamins ang mga bata sa aming purok,Medical,Low,tagalog
"Importante po ito, Nahulog ang transformer sa may palengke may apoy na lumalabas kailangan ng agad na aksyon.",Power Hazard,High,tagalog
"Importante ini, May sadit na pagkagaba kan daga sa gilid kan kalsada, sadit sana man pakiusap.",Landslide,Low,bikol
Nakita ko ang spark sa linya ng kuryente sa harap ng palengke,Power Hazard,Medium,tagalog
Nag aalala po kami dahil May maliit na sunog sa kangkungan sa likod ng barangay hall ito ay nangyari ngayon.,Fire,Medium,tagalog
"Mahal na barangay tanggapan, Nagguho ang gilid ng kalsada sa bundok hindi na ligtas ang daanan maaari ba kayong tumulong?",Landslide,High,tagalog
Alam ko po na marami kayong trabaho pero Ang wiring sa isang bahay ay luma na at baka magkorslot pakiusap.,Power Hazard,Medium,tagalog
"Importante po ito, Nasunog ang mga tuyong dahon sa likod ng paaralan nabugaw na salamat po.",Fire,Low,tagalog
Nag aalala po kami dahil Kailangan ng libreng medical mission ang aming barangay maraming pasyente maraming salamat po.,Medical,Medium,tagalog
"Aram ko na dakul kamong trabaho pero May tawong nawaran nin malay sa kalsada, kaipuhan nin ambulansya pakiusap.",Medical,High,bikol
Daing tubig na maiinom sa samuyang lugar sa tulong aldaw na ini ini nangyari ngunyan.,Utility,High,bikol
"Pakiusap sana ay tulungan kami, Ang mga bata ay naglaro ng posporo malapit sa mga kahoy posibleng masunog",Fire,Medium,tagalog
"Nagtatanong po kung may aksyon na, May nang-aagaw ng bag sa aming lugar maraming beses nang nangyari maraming salamat po.",Security,High,tagalog
"Naghahapot ako kun igwa nang aksyon, Nagkalayo an pabrika, an kalayo nag-aabot na sa atop tabangan niyo kami tabi.",Fire,High,bikol
"Mahal na tanggapan kan barangay, Dakul na residente an dai nakakakaon huli sa kadaihan nin pagkaon ini nangyari ngunyan.",Food,Medium,bikol
"Importante po ito, May live wire na nahulog sa kalsada mapanganib sa lahat umaasa po kaming maaksyunan ito.",Power Hazard,High,tagalog
"Gusto ko sanang i-report na An daan na barangay hall igwa nin mga pitak na sa lanob, kaipuhan suhayan kaipuhan nin tulong ngunyan.",Structural,Medium,bikol
"Mahal na barangay tanggapan, Ang mga bata ay naglaro ng posporo malapit sa mga kahoy posibleng masunog sana ay tulungan ninyo kami.",Fire,Medium,tagalog
"Nagtatanong po kung may aksyon na, May maliit na sunog sa kangkungan sa likod ng barangay hall nangyari ito kanina pa.",Fire,Medium,tagalog
"Importante po ito, Ang gusali sa aming lugar ay may malalaking bitak sa pader mapanganib kailangan na talaga ng tulong.",Structural,High,tagalog
"Mahal na barangay tanggapan, Ang lupa sa gilid ng bahay namin ay lumalagpas na posibleng magguho kailangan ng agad na aksyon.",Landslide,Medium,tagalog
Mababaw ang baha pero lumalamig na ang temperatura pwede pa lumaki kailangan ng agad na aksyon.,Flooding,Medium,tagalog
Gusto ko lang ireport na Nasunog ang basura sa tambak matagal nang ganito gusto ko lang ireport ito ay nangyari ngayon.,Fire,Low,tagalog
Aram ko na dakul kamong trabaho pero May electric shock an sarong aki sa atubangan kan samuyang harong dakul na salamat.,Power Hazard,High,bikol
Nahulog ang kaunting lupa sa drainage gusto ko lang ireport ito ay nangyari ngayon.,Landslide,Low,tagalog
"An gusali sa samuyang lugar igwa nin dakulang pitak sa lanob, peligroso",Structural,High,bikol
Ang drainage system ay sira na kaya palaging nagbabaha,Flooding,Medium,tagalog
"Nagtatanong po kung may aksyon na, May pagguho ng lupa sa estero naharang na ang daloy ng tubig maaari ba kayong tumulong?",Landslide,High,tagalog
"Importante po ito, Ang creek sa likod ng barangay ay umaapaw na kapag malakas ang ulan salamat po.",Flooding,Medium,tagalog
"Importante ini, Nagkagaba an tulay huli sa kusog kan baha, dai na madadaanan salamat.",Flooding,High,bikol
Nakakita kami ng apoy sa abandonadong bahay posibleng sinusunog ng vandals nangyari ito kanina pa.,Fire,Medium,tagalog
"Nagtatanong po kung may aksyon na, Ang tubig na ininom ng mga bata ay may kakaibang amoy posibleng kontaminado kailangan ng agad na aksyon.",Food,High,tagalog
Alam ko po na marami kayong trabaho pero Ang mga kabataan ay nagtitipon sa gabi at may ingay na naririnig pakiusap.,Security,Medium,tagalog
Naputol ang main water pipe lahat kami walang tubig maraming salamat po.,Utility,High,tagalog
Gusto ko lang ireport na May nakita kaming mga bato sa kalsada baka nanggaling sa bundok nangyari ito kanina pa.,Landslide,Low,tagalog
"Pakiusap sana ay tulungan kami, Ang aking kapitbahay ay nagrereklamo ng paulit ulit na pagnanakaw nangyari ito kanina pa.",Security,Medium,tagalog
"Nagtatanong po kung may aksyon na, Bumagsak ang poste ng kuryente sa harap ng aming bahay pakiusap.",Utility,High,tagalog
Gusto ko lang ireport na Nakita ko ang usok mula sa bahay na walang tagaroon posibleng susunog ito ay nangyari ngayon.,Fire,High,tagalog
Kailangan ng vitamins ang mga bata sa aming purok sana ay tulungan ninyo kami.,Medical,Low,tagalog
"Naghahapot ako kun igwa nang aksyon, Nahulog sa hagdan an sarong residente, dai na makahiro kaipuhan na gayod nin tabang.",Medical,High,bikol
Ang wiring sa isang bahay ay luma na at baka magkorslot maaari ba kayong tumulong?,Power Hazard,Medium,tagalog
"Pakiusap sana ay tulungan kami, Nagko-korslot ang wiring sa poste sa labas ng aming bahay kailangan ng agad na aksyon.",Utility,Medium,tagalog
"Nagtatanong po kung may aksyon na, Kailangan ng vitamins ang mga bata sa aming purok",Medical,Low,tagalog
"Nagtatanong po kung may aksyon na, Ang tulay sa aming lugar ay may malaking bitak mapanganib ang pagtawid kailangan ng agad na aksyon.",Structural,High,tagalog
"Mahal na barangay tanggapan, May sunog sa informal settler area doon sa kabila maraming nasusunog",Fire,High,tagalog
"Importante po ito, Naputol ang high tension wire at bumagsak sa palengke maaari ba kayong tumulong?",Power Hazard,High,tagalog
Dalawang bahay na naanod sa baha kailangan agad ng tulong kailangan ng agad na aksyon.,Flooding,High,tagalog
"Importante po ito, Ang drainage pipe ay sumabog at may umaapaw na dumi sa kalsada kailangan ng agad na aksyon.",Infrastructure,High,tagalog
"Nagtatanong po kung may aksyon na, Nalaglag ang overpass bridge component sa kalsada delikado sa mga sasakyan",Road Hazard,High,tagalog
Gusto ko lang ireport na Ang poste sa likod ng bahay ay medyo yumuko na gusto ko lang ipaalam ito ay nangyari ngayon.,Utility,Low,tagalog
"Mahal na barangay tanggapan, Ang estero sa amin ay lagi nang umaapaw kapag umuulan",Flooding,Medium,tagalog
"Importante po ito, Ang aking kapitbahay ay nagrereklamo ng paulit ulit na pagnanakaw",Security,Medium,tagalog
Malaking landslide sa kabundukan naiipit ang ilang pamilya sa ibaba umaasa po kaming maaksyunan ito.,Landslide,High,tagalog
"Pakiusap sana ay tulungan kami, Nahulog ang transformer malapit sa bahay may electric hazard umaasa po kaming maaksyunan ito.",Utility,High,tagalog
Gusto ko lang ireport na May pinaghihinalaang drug den sa katabing bahay kailangan ng imbestigasyon,Security,Medium,tagalog
"Mahal na tanggapan kan barangay, Nagaba an pangenot na kalsada, dai na madadaanan kan mga sasakyan tabangan niyo kami tabi.",Infrastructure,High,bikol
Alam ko po na marami kayong trabaho pero Ang mga bata ay naglaro ng posporo malapit sa mga kahoy posibleng masunog nangyari ito kanina pa.,Fire,Medium,tagalog
Ang mga bangketa sa aming lugar ay hindi na magamit sira na lahat nangyari ito kanina pa.,Infrastructure,Medium,tagalog
Aram ko na dakul kamong trabaho pero Dakul na gapo an nahulog hali sa taas ngunyan na tag-uran salamat.,Landslide,Medium,bikol
"Pakiusap sana ay tulungan kami, Maraming asong gala sa aming lugar nakakadismaya at delikado sa mga bata umaasa po kaming maaksyunan ito.",Animal,Medium,tagalog
"Importante po ito, May matandang babaeng biglang nanghina sa labas ng bahay niya umaasa po kaming maaksyunan ito.",Medical,High,tagalog
Alam ko po na marami kayong trabaho pero Malaking sunog sa palengke lumalaki na ang apoy kailangan ng tulong maaari ba kayong tumulong?,Fire,High,tagalog
"Nagtatanong po kung may aksyon na, Ang bundok sa taas ay nagpapakita ng ilang bitak posibleng landslide kailangan na talaga ng tulong.",Landslide,Medium,tagalog
"Naghahapot ako kun igwa nang aksyon, Natumba an atop kan alang na gusali, may naipit na tawo sa laog",Structural,High,bikol
"Nagbaha na sa samuyang harong, gabos na gamit nalubugan na dakul na salamat.",Flooding,High,bikol
"An gusali sa samuyang lugar igwa nin dakulang pitak sa lanob, peligroso ini nangyari ngunyan.",Structural,High,bikol
"Pakiusap sana ay tulungan kami, Bumagsak ang malaking bahagi ng tulay sa aming lugar delikado kailangan ng agad na aksyon.",Infrastructure,High,tagalog
Gusto ko lang ireport na Gusto ko lang ireport na may mga estranyo na nakikita sa aming lugar,Security,Low,tagalog
"Nagtatanong po kung may aksyon na, Nagtaas ng babala ang weather bureau malakas pang ulan darating nangyari ito kanina pa.",Flooding,High,tagalog
Gusto ko sanang i-report na Kaipuhan nin food assistance an dakul na pamilya sa samuyang barangay pakiusap.,Food,Medium,bikol
"Nagtatanong po kung may aksyon na, May konting genggeng sa daan dahil sa ulan kanina salamat po.",Flooding,Low,tagalog
Ang bahay ay gumuho matapos ang lindol may napit na pamilya umaasa po kaming maaksyunan ito.,Structural,High,tagalog
Nag-aalala kami huli ta Gaba na an drainage kaya parati kaming binabaha tabangan niyo kami tabi.,Flooding,Medium,bikol
"Importante po ito, Malaki ang sunog sa pabrika apoy lumalabas na sa bubong maaari ba kayong tumulong?",Fire,High,tagalog
Biglang bumaha ang kanal umabot na ang tubig sa loob ng bahay namin kailangan na talaga ng tulong.,Flooding,High,tagalog
Alam ko po na marami kayong trabaho pero Nagtaas ng babala ang weather bureau malakas pang ulan darating kailangan ng agad na aksyon.,Flooding,High,tagalog
"Naghahapot ako kun igwa nang aksyon, Natumba an retaining wall kan kalsada sa bukid, naipit an mga sasakyan",Infrastructure,High,bikol
"May nahulog na buhay na alambre sa kalsada, peligroso sa gabos kaipuhan nin tulong ngunyan.",Power Hazard,High,bikol
"Importante po ito, Maraming pamilya ang nawalan ng tirahan dahil sa malaking baha",Flooding,High,tagalog
Bumagsak ang retaining wall ng kalsada sa bundok napit ang mga sasakyan maaari ba kayong tumulong?,Infrastructure,High,tagalog
May nagnakaw ng motorsiklo sa aming barangay kararating lang ng insidente kailangan ng agad na aksyon.,Security,High,tagalog
Nagguho ang lupa sa gilid ng kalsada sa bundok peligroso sa mga sasakyan maraming salamat po.,Landslide,High,tagalog
"Mahal na tanggapan kan barangay, An pinto kan sityo hall sira na, masakit buksan ini nangyari ngunyan.",Structural,Low,bikol
"Nagtatanong po kung may aksyon na, Nagko-korslot ang wiring sa poste sa labas ng aming bahay ito ay nangyari ngayon.",Utility,Medium,tagalog
"Pakiusap tabangan kami, Nahulog an kahoy sa tahaw kan kalsada, dai na madadaanan",Road Hazard,High,bikol
Ang drainage sa aming lugar ay sira na palagi kaming nababaha kailangan na talaga ng tulong.,Utility,Medium,tagalog
An kalsada sa samuyang sityo garo lubak-lubak na asin gaba an drainage pakiusap.,Infrastructure,Medium,bikol
Gusto ko lang ireport na Nasira ang kalsada matapos ang baha may malaking butas sa daan sana ay tulungan ninyo kami.,Road Hazard,High,tagalog
Alam ko po na marami kayong trabaho pero Maraming pamilya ang naipit sa baha hindi makaalis ng bahay maraming salamat po.,Flooding,High,tagalog
"Mahal na tanggapan kan barangay, Dakul na residente an naghehelang, tibaad dengue, kaipuhan nin fumigation",Medical,Medium,bikol
Walang tubig na iniinom sa aming lugar tatlong araw na ito maraming salamat po.,Utility,High,tagalog
Nagbabaha sa kalsada tuwing umuulan hindi na maraanan,Flooding,Medium,tagalog
"Nagtatanong po kung may aksyon na, May electric shock ang isang bata sa tapat ng aming bahay maaari ba kayong tumulong?",Power Hazard,High,tagalog
"Nagtatanong po kung may aksyon na, May malaking hukay sa kalsada na mapanganib lalo na sa gabi kailangan na talaga ng tulong.",Road Hazard,Medium,tagalog
Alam ko po na marami kayong trabaho pero Ang estero sa amin ay lagi nang umaapaw kapag umuulan,Flooding,Medium,tagalog
May napansing usok sa dumpsite baka sumasamang basura maaari ba kayong tumulong?,Fire,Medium,tagalog
Gusto ko lang ireport na Bumagsak ang malaking bato mula sa bundok naharang ang daan umaasa po kaming maaksyunan ito.,Road Hazard,High,tagalog
An kalsada sa samuyang sityo garo lubak-lubak na asin gaba an drainage,Infrastructure,Medium,bikol
Gusto ko lang ireport na Biglang bumagsak ang kisame ng paaralan may mga bata sa loob sana ay tulungan ninyo kami.,Structural,High,tagalog
Alam ko po na marami kayong trabaho pero Ang tulay sa aming lugar ay may malaking bitak mapanganib ang pagtawid umaasa po kaming maaksyunan ito.,Structural,High,tagalog
May sunog sa informal settler area doon sa kabila maraming nasusunog pakiusap.,Fire,High,tagalog
"Nahulog an dakulang poste sa tahaw kan highway, ayuson na tabi salamat.",Road Hazard,High,bikol
Gusto ko lang ireport na may nagbebenta ng expired na pagkain sa tindahan maraming salamat po.,Food,Low,tagalog
"Pakiusap tabangan kami, Naghihilaw an baha sa kalsada tuwing nag-uuran ini nangyari ngunyan.",Flooding,Medium,bikol
Alam ko po na marami kayong trabaho pero Ang mga bata ay naglaro ng posporo malapit sa mga kahoy posibleng masunog umaasa po kaming maaksyunan ito.,Fire,Medium,tagalog
"Naputol an pangenot na tubo nin tubig, gabos kami daing tubig dakul na salamat.",Utility,High,bikol
"Naghahapot ako kun igwa nang aksyon, An tulay sa samuyang lugar igwa nin dakulang pitak, peligroso baklayon",Structural,High,bikol
Maraming beses nang nagnakaw ng gulay sa aming sityo kailangan ng aksyon maaari ba kayong tumulong?,Security,Medium,tagalog
"Importante po ito, Ang tulay ay may malaking butas na sa gitna delikado sa mga bata salamat po.",Infrastructure,Medium,tagalog
Alam ko po na marami kayong trabaho pero Ang drainage pipe ay sumabog at may umaapaw na dumi sa kalsada,Infrastructure,High,tagalog
"Aram ko na dakul kamong trabaho pero An pinto kan barangay basketball court sira na, dai nasasara",Infrastructure,Low,bikol
"Aram ko na dakul kamong trabaho pero Sasadit na lungag sa kalsada, gusto ko sanang i-report para maayos dakul na salamat.",Road Hazard,Low,bikol
"Importante ini, Naputol an linya nin kuryente asin nahulog sa kalsada, peligroso naglalaom kami na maaksyunan ini.",Utility,High,bikol
Konting tubig sa likod ng bahay sanay na kami pero ireport ko lang kailangan ng agad na aksyon.,Flooding,Low,tagalog
"May nasakitan sa samuyang kataed, kaipuhan tulos nin tabang",Medical,High,bikol
"Pakiusap sana ay tulungan kami, May maliit na sunog sa kangkungan sa likod ng barangay hall",Fire,Medium,tagalog
Alam ko po na marami kayong trabaho pero Ang pintuan ng barangay basketball court ay sira na hindi masara umaasa po kaming maaksyunan ito.,Infrastructure,Low,tagalog
Ang mga bata ay naglaro ng posporo malapit sa mga kahoy posibleng masunog ito ay nangyari ngayon.,Fire,Medium,tagalog
Gusto ko lang ireport na Bumagsak ang malaking bato mula sa bundok tumama sa bahay ng kapitbahay kailangan na talaga ng tulong.,Landslide,High,tagalog
"Nagtatanong po kung may aksyon na, Nasunog ang apat na bahay sa aming sityo kailangan ng rescue maaari ba kayong tumulong?",Fire,High,tagalog
Ang isda sa palengke ay matagal na at may amoy na kailangan suriin umaasa po kaming maaksyunan ito.,Food,Medium,tagalog
Alam ko po na marami kayong trabaho pero Ang waiting shed sa kanto ay gumuguho na kailangan ng bagong istruktura maaari ba kayong tumulong?,Structural,Medium,tagalog
May bitak sa plasa ng barangay maliit lang naman pero gusto ko lang ireport kailangan ng agad na aksyon.,Structural,Low,tagalog
"Nag-aalala kami huli ta An wiring kan sarong harong daan na, tibaad magkorto-sirkito",Power Hazard,Medium,bikol
"Nag-aalala kami huli ta Naaksidente an sakuyang kataed, kaipuhan nin dagos na tabang medikal naglalaom kami na maaksyunan ini.",Medical,High,bikol
"Importante po ito, Nasunog ang kaunting pader ng bahay kontrol na pero kailangan pa rin suriin kailangan ng agad na aksyon.",Fire,Medium,tagalog
"Pakiusap sana ay tulungan kami, May mabahong amoy mula sa patay na hayop sa ilog kailangan alisin umaasa po kaming maaksyunan ito.",Animal,Medium,tagalog
Ang mga alagang aso ng kapitbahay ay palaging umaatake sa mga dumaan nangyari ito kanina pa.,Animal,Medium,tagalog
Nag aalala po kami dahil May nahulog na container van sa kalsada delikado sa mga sasakyan,Road Hazard,High,tagalog
"Mahal na barangay tanggapan, Bumagsak ang malaking bahagi ng tulay sa aming lugar delikado",Infrastructure,High,tagalog
"Nag-aalala kami huli ta Naghali sa kalan an sunog, luway-luway nag-aabot sa ibang harong pakiusap.",Fire,High,bikol
Gusto ko lang ireport na Maraming bata ang may lagnat at ubo sa aming purok,Medical,Medium,tagalog
"Mahal na barangay tanggapan, May nagtatalik ng away ng grupo sa kanto ng aming barangay mapanganib pakiusap.",Security,High,tagalog
"Importante ini, Nagaba an pangenot na kalsada, dai na madadaanan kan mga sasakyan",Infrastructure,High,bikol
Gusto ko sanang i-report na May konting tubig sa gilid kan tulay huli sa uran pakiusap.,Flooding,Low,bikol
Palagi kaming nababaha dahil sa mataas na lugar sa paligid namin salamat po.,Flooding,Medium,tagalog
"Mahal na barangay tanggapan, Nasunog ang kamay ng bata habang naglalaro malapit sa kalan kailangan ng tulong pakiusap.",Medical,High,tagalog
Ang aming sityo ay kulang sa ilaw sa gabi posibleng hindi ligtas kailangan na talaga ng tulong.,Security,Low,tagalog
"Pakiusap tabangan kami, Natumba an retaining wall kan kalsada sa bukid, naipit an mga sasakyan kaipuhan na gayod nin tabang.",Infrastructure,High,bikol
Alam ko po na marami kayong trabaho pero Nahulog ang isang residente mula sa hagdan hindi na makagalaw,Medical,High,tagalog
"Importante po ito, Nagtaas ng babala ang weather bureau malakas pang ulan darating maraming salamat po.",Flooding,High,tagalog
